lon,lat,475,975,2475,10000
-82.0,24.4,6.26544601e-01,1.30661770e+00,2.76809784e+00,6.46716259e+00
-81.8,24.4,6.39151097e-01,1.33149592e+00,2.81352293e+00,6.56009325e+00
-81.6,24.4,6.44339786e-01,1.34318669e+00,2.83827442e+00,6.62380171e+00
-81.4,24.4,6.48135759e-01,1.35323828e+00,2.86159477e+00,6.68800768e+00
-82.0,24.6,6.66214898e-01,1.37700492e+00,2.88739089e+00,6.67648641e+00
-81.8,24.6,6.70588972e-01,1.38726254e+00,2.90941688e+00,6.73140753e+00
-81.6,24.6,6.73975754e-01,1.39592281e+00,2.92877935e+00,6.78147879e+00
-81.4,24.6,6.76095997e-01,1.40252843e+00,2.94446124e+00,6.82310782e+00
-81.2,24.6,6.75773425e-01,1.40480762e+00,2.95202933e+00,6.84564091e+00
-81.0,24.6,6.72491407e-01,1.40189716e+00,2.94987214e+00,6.84460988e+00
-82.0,24.8,6.95121625e-01,1.42778584e+00,2.97694098e+00,6.85306650e+00
-81.8,24.8,6.97854113e-01,1.43556689e+00,2.99511705e+00,6.90053960e+00
-81.6,24.8,6.99603206e-01,1.44121277e+00,3.00839731e+00,6.93545707e+00
-81.4,24.8,7.00056205e-01,1.44477624e+00,3.01801651e+00,6.96256265e+00
-81.2,24.8,6.98367674e-01,1.44470882e+00,3.02112077e+00,6.97459399e+00
-81.0,24.8,6.93791419e-01,1.43955374e+00,3.01479804e+00,6.96384460e+00
-80.8,24.8,6.86468389e-01,1.42968908e+00,2.99993667e+00,6.93282656e+00
-80.6,24.8,6.76159758e-01,1.41430284e+00,2.97430985e+00,6.87499823e+00
-82.0,25.0,7.27377740e-01,1.48464426e+00,3.07901272e+00,7.06517722e+00
-81.8,25.0,7.28546146e-01,1.48948407e+00,3.09105732e+00,7.09797542e+00
-81.6,25.0,7.28983465e-01,1.49322292e+00,3.10108244e+00,7.12776730e+00
-81.4,25.0,7.28767418e-01,1.49692234e+00,3.11384610e+00,7.17335406e+00
-81.2,25.0,7.26003677e-01,1.49499981e+00,3.11342027e+00,7.17933857e+00
