lon,lat,475,975,2475,10000
-82.0,24.4,0.0,3.22056922e-03,6.84917041e-03,1.59289816e-02
-81.8,24.4,0.0,3.26846641e-03,6.93952238e-03,1.61131286e-02
-81.6,24.4,0.0,3.27747797e-03,6.96882230e-03,1.62011245e-02
-81.4,24.4,0.0,3.28313423e-03,6.99466812e-03,1.62888166e-02
-82.0,24.6,0.0,3.45257641e-03,7.23162287e-03,1.66096487e-02
-81.8,24.6,0.0,3.46328634e-03,7.26373319e-03,1.66989662e-02
-81.6,24.6,0.0,3.46963857e-03,7.28851446e-03,1.67743799e-02
-81.4,24.6,0.0,3.47223276e-03,7.30630833e-03,1.68333248e-02
-81.2,24.6,0.0,3.46716445e-03,7.30932523e-03,1.68564139e-02
-81.0,24.6,0.0,3.45439192e-03,7.29697367e-03,1.68400217e-02
-82.0,24.8,0.0,3.62046353e-03,7.51417680e-03,1.71422915e-02
-81.8,24.8,0.0,3.62708251e-03,7.54032732e-03,1.72203850e-02
-81.6,24.8,0.0,3.62818338e-03,7.55447226e-03,1.72678846e-02
-81.4,24.8,0.0,3.62469521e-03,7.56017706e-03,1.72969194e-02
-81.2,24.8,0.0,3.61524181e-03,7.55497024e-03,1.73001232e-02
-81.0,24.8,0.0,3.59830230e-03,7.53530284e-03,1.72665357e-02
-80.8,24.8,0.0,3.57494309e-03,7.50301798e-03,1.72009590e-02
-80.6,24.8,0.0,3.54386332e-03,7.45401122e-03,1.70902376e-02
-82.0,25.0,0.0,3.79805791e-03,7.81560640e-03,1.77283245e-02
-81.8,25.0,0.0,3.79762945e-03,7.82796596e-03,1.77726246e-02
-81.6,25.0,0.0,3.79167774e-03,7.82886828e-03,1.77920903e-02
-81.4,25.0,0.0,3.78444483e-03,7.82785569e-03,1.78118874e-02
-81.2,25.0,0.0,3.76866677e-03,7.80850311e-03,1.77792639e-02
-81.0,25.0,0.0,3.74119344e-03,7.76286884e-03,1.76696756e-02
-80.8,25.0,0.0,3.70968757e-03,7.71269006e-03,1.75551902e-02
-80.6,25.0,0.0,3.67837135e-03,7.66550092e-03,1.74532197e-02
-80.4,25.0,0.0,3.64435568e-03,7.61374580e-03,1.73410384e-02
-80.2,25.0,0.0,3.60628079e-03,7.55576175e-03,1.72163418e-02
-82.0,25.2,0.0,3.97106059e-03,8.10316547e-03,1.82745724e-02
-81.8,25.2,0.0,3.96462724e-03,8.10515511e-03,1.82981852e-02
-81.6,25.2,0.0,3.95806630e-03,8.10575471e-03,1.83256430e-02
-81.4,25.2,0.0,3.94512006e-03,8.09243036e-03,1.83220233e-02
-81.2,25.2,0.0,3.91714704e-03,8.04457516e-03,1.82118072e-02
-81.0,25.2,0.0,3.88561165e-03,7.99358052e-03,1.80956248e-02
-80.8,25.2,0.0,3.85971861e-03,7.95966860e-03,1.80319355e-02
-80.6,25.2,0.0,3.83117616e-03,7.92199988e-03,1.79613493e-02
-80.4,25.2,0.0,3.79675741e-03,7.87438418e-03,1.78693645e-02
-80.2,25.2,0.0,3.75913397e-03,7.82092437e-03,1.77612074e-02
-80.0,25.2,0.0,3.71230495e-03,7.74669901e-03,1.75871409e-02
-82.0,25.4,2.02254883e-03,4.13159633e-03,8.35753553e-03,1.87242460e-02
-81.8,25.4,2.01130924e-03,4.12447599e-03,8.36296404e-03,1.87711948e-02
-81.6,25.4,0.0,4.11061872e-03,8.35157178e-03,1.87807028e-02
-81.4,25.4,0.0,4.08852079e-03,8.31886194e-03,1.87222945e-02
-81.2,25.4,0.0,4.06235912e-03,8.28190023e-03,1.86516023e-02
-81.0,25.4,0.0,4.03473034e-03,8.24435715e-03,1.85797131e-02
-80.8,25.4,0.0,4.00838196e-03,8.21378099e-03,1.85326969e-02
-80.6,25.4,0.0,3.97884568e-03,8.17800135e-03,1.84745325e-02
-80.4,25.4,0.0,3.94471397e-03,8.13293697e-03,1.83922532e-02
-80.2,25.4,0.0,3.90635057e-03,8.07932201e-03,1.82859922e-02
-80.0,25.4,0.0,3.85979439e-03,8.00734937e-03,1.81214545e-02
-97.6,25.6,0.0,2.66393724e-03,5.53735124e-03,1.40778334e-02
-97.4,25.6,0.0,2.61102916e-03,5.41555352e-03,1.37348204e-02
-97.2,25.6,0.0,2.58184229e-03,5.33481457e-03,1.34966227e-02
-97.0,25.6,0.0,2.58146540e-03,5.30793144e-03,1.33999874e-02
-82.0,25.6,2.09867129e-03,4.26092704e-03,8.53895989e-03,1.89777388e-02
-81.8,25.6,2.09028830e-03,4.26375043e-03,8.57087817e-03,1.91104725e-02
-81.6,25.6,2.07741133e-03,4.25535513e-03,8.57764131e-03,1.91783638e-02
-81.4,25.6,2.05969081e-03,4.23534065e-03,8.55904468e-03,1.91676686e-02
-81.2,25.6,2.04070595e-03,4.21308809e-03,8.53685700e-03,1.91436788e-02
-81.0,25.6,2.01965732e-03,4.18658818e-03,8.50669275e-03,1.90985217e-02
-80.8,25.6,0.0,4.15887243e-03,8.47582929e-03,1.90544211e-02
-80.6,25.6,0.0,4.12732929e-03,8.43796401e-03,1.89938626e-02
-80.4,25.6,0.0,4.09162910e-03,8.39184568e-03,1.89124476e-02
-80.2,25.6,0.0,4.05166150e-03,8.33660997e-03,1.88053640e-02
-80.0,25.6,0.0,4.00480942e-03,8.26547012e-03,1.86477412e-02
-98.2,25.8,0.0,3.20115488e-03,6.59919765e-03,1.64480907e-02
-98.0,25.8,0.0,3.11638871e-03,6.39205373e-03,1.58789219e-02
-97.8,25.8,0.0,3.04736083e-03,6.22255086e-03,1.54250399e-02
-97.6,25.8,0.0,2.99779032e-03,6.08784041e-03,1.50402493e-02
-97.4,25.8,0.0,2.96740808e-03,5.98980526e-03,1.47221038e-02
-97.2,25.8,0.0,2.95289657e-03,5.92111805e-03,1.44799420e-02
-97.0,25.8,0.0,2.94400752e-03,5.87943553e-03,1.43377945e-02
-82.0,25.8,2.18527523e-03,4.41603267e-03,8.78127921e-03,1.94134895e-02
-81.8,25.8,2.17797058e-03,4.42354742e-03,8.82569470e-03,1.95863024e-02
-81.6,25.8,2.16485933e-03,4.41767986e-03,8.84158661e-03,1.96752233e-02
-81.4,25.8,2.14608601e-03,4.39915615e-03,8.83079141e-03,1.96869486e-02
-81.2,25.8,2.12419736e-03,4.37430186e-03,8.80833174e-03,1.96685818e-02
-81.0,25.8,2.10093373e-03,4.34638358e-03,8.78004485e-03,1.96353799e-02
-80.8,25.8,2.07621429e-03,4.31522818e-03,8.74571659e-03,1.95877763e-02
-80.6,25.8,2.04960547e-03,4.27992110e-03,8.70348691e-03,1.95211801e-02
-80.4,25.8,2.02169136e-03,4.24133904e-03,8.65463530e-03,1.94378712e-02
-80.2,25.8,0.0,4.19970303e-03,8.59917798e-03,1.93362182e-02
-80.0,25.8,0.0,4.15119563e-03,8.52710128e-03,1.91828232e-02
-98.8,26.0,0.0,3.52511051e-03,7.32082476e-03,1.86046803e-02
-98.6,26.0,0.0,3.40264926e-03,7.03218309e-03,1.76656730e-02
-98.4,26.0,0.0,3.30581771e-03,6.81012201e-03,1.69706786e-02
-98.2,26.0,0.0,3.23528981e-03,6.64275649e-03,1.64885914e-02
-98.0,26.0,0.0,3.17525392e-03,6.48471344e-03,1.60435642e-02
-97.8,26.0,0.0,3.12892322e-03,6.34614845e-03,1.56353358e-02
-97.6,26.0,0.0,3.09915702e-03,6.23495622e-03,1.52832063e-02
-97.4,26.0,0.0,3.07272314e-03,6.13880736e-03,1.49664535e-02
-97.2,26.0,0.0,3.04361061e-03,6.05273413e-03,1.47009607e-02
-97.0,26.0,0.0,3.01320238e-03,5.98011684e-03,1.44993931e-02
-82.0,26.0,2.28351124e-03,4.58148067e-03,9.07826145e-03,1.99973897e-02
-81.8,26.0,2.27360530e-03,4.58341003e-03,9.11216599e-03,2.01372318e-02
-81.6,26.0,2.25804299e-03,4.57550069e-03,9.12316650e-03,2.02098657e-02
-81.4,26.0,2.23827499e-03,4.56017754e-03,9.11673621e-03,2.02343070e-02
-81.2,26.0,2.21544993e-03,4.53965842e-03,9.09891819e-03,2.02303551e-02
-81.0,26.0,2.18900730e-03,4.51308614e-03,9.06874691e-03,2.01992558e-02
-80.8,26.0,2.16045763e-03,4.48117779e-03,9.02920429e-03,2.01451287e-02
-80.6,26.0,2.13068150e-03,4.44223250e-03,8.98382560e-03,2.00769073e-02
-80.4,26.0,2.09960719e-03,4.40005474e-03,8.93209597e-03,1.99933169e-02
-80.2,26.0,2.06780234e-03,4.35531695e-03,8.87457358e-03,1.98937175e-02
-80.0,26.0,2.03448256e-03,4.30536404e-03,8.80401945e-03,1.97539772e-02
-99.2,26.2,0.0,3.55852154e-03,7.33800945e-03,1.84968615e-02
-99.0,26.2,0.0,3.53867230e-03,7.30332532e-03,1.84043902e-02
