lon,lat,475,975,2475,10000
-82.0,24.4,6.29114706e-03,1.22275401e-02,2.51690276e-02,6.37526916e-02
-81.8,24.4,6.46797251e-03,1.26927266e-02,2.63535074e-02,6.64959170e-02
-81.6,24.4,6.61277026e-03,1.31288143e-02,2.74481628e-02,6.92652613e-02
-81.4,24.4,6.72751903e-03,1.35166586e-02,2.84430250e-02,7.18597651e-02
-82.0,24.6,6.33190875e-03,1.20152646e-02,2.41970892e-02,6.05812734e-02
-81.8,24.6,6.45938194e-03,1.23600468e-02,2.50693807e-02,6.26026636e-02
-81.6,24.6,6.57338665e-03,1.26894993e-02,2.59364129e-02,6.46360696e-02
-81.4,24.6,6.66484952e-03,1.29783588e-02,2.67070355e-02,6.64840332e-02
-81.2,24.6,6.71963238e-03,1.31885666e-02,2.72624770e-02,6.79067922e-02
-81.0,24.6,6.72278919e-03,1.32789757e-02,2.75440048e-02,6.86402702e-02
-82.0,24.8,6.34761697e-03,1.18492102e-02,2.34922036e-02,5.81621964e-02
-81.8,24.8,6.45251564e-03,1.21319759e-02,2.42181279e-02,6.00108281e-02
-81.6,24.8,6.54758349e-03,1.24029395e-02,2.49520419e-02,6.19036751e-02
-81.4,24.8,6.62081680e-03,1.26349406e-02,2.56189842e-02,6.37294973e-02
-81.2,24.8,6.65947462e-03,1.27948229e-02,2.61124140e-02,6.50748905e-02
-81.0,24.8,6.65221741e-03,1.28501138e-02,2.63312285e-02,6.56416100e-02
-80.8,24.8,6.59397899e-03,1.27871494e-02,2.62491887e-02,6.54775921e-02
-80.6,24.8,6.48515549e-03,1.26001698e-02,2.58474138e-02,6.45593227e-02
-82.0,25.0,6.37896568e-03,1.17659944e-02,2.30884314e-02,5.66650449e-02
-81.8,25.0,6.47028057e-03,1.20210556e-02,2.37897690e-02,5.87708049e-02
-81.6,25.0,6.55175196e-03,1.22627540e-02,2.45307905e-02,6.13982426e-02
-81.4,25.0,6.61494357e-03,1.24721167e-02,2.52236287e-02,6.42290749e-02
-81.2,25.0,6.65016547e-03,1.26188692e-02,2.57411517e-02,6.62804960e-02
-81.0,25.0,6.65614956e-03,1.26859351e-02,2.59972312e-02,6.70997807e-02
-80.8,25.0,6.60933467e-03,1.26361014e-02,2.59414704e-02,6.70083138e-02
-80.6,25.0,6.50843414e-03,1.24647768e-02,2.55729848e-02,6.61391547e-02
-80.4,25.0,6.35832161e-03,1.21800019e-02,2.49058542e-02,6.44892821e-02
-80.2,25.0,6.16071210e-03,1.17862534e-02,2.39328628e-02,6.17818097e-02
-82.0,25.2,6.43582201e-03,1.17712998e-02,2.29468537e-02,5.60086742e-02
-81.8,25.2,6.51773482e-03,1.20130289e-02,2.36974711e-02,5.88033902e-02
-81.6,25.2,6.59486473e-03,1.22520772e-02,2.45342023e-02,6.27807808e-02
